,,,,,,,,Federal Housing Finance Agency,,,
,,,,,,,,www.fhfa.gov,,,
,,,,,,,,,,,
"TABLE 25:  TERMS ON CONVENTIONAL SINGLE-FAMILY MORTGAGES, MONTHLY NATIONAL AVERAGES, PREVIOUSLY OCCUPIED HOMES, ADJUSTABLE-RATE MORTGAGES",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Year,Month,Contract,Initial,Effective,Term,Mortgage,Purchase,Loan-,,,
,,Interest,Fees,Interest,to,Loan,Price,to-Price,,,
,,Rate,and,Rate,Maturity,Amount,($000),Ratio,,,
,,(%),Charges,(%),,($000),,(%),,,
,,,(%),,,,,,,,
,,,,,,,,,,,
1995,04,7.09,0.80,7.21,29.4,121.9,155.6,80.2,,,
1995,05,7.15,0.89,7.28,29.3,126.8,162.2,80.3,,,
1995,06,6.87,0.93,7.01,29.5,139.2,173.7,81.9,,,
1995,07,6.99,0.95,7.14,29.3,141.4,178.8,80.8,,,
1995,08,6.78,0.91,6.92,29.8,143.5,182.0,80.9,,,
1995,09,6.97,0.75,7.08,29.1,137.0,176.1,80.2,,,
1995,10,6.87,0.76,6.99,28.8,132.1,166.9,80.8,,,
1995,11,6.79,0.73,6.90,29.5,144.1,186.1,79.1,,,
1995,12,6.41,0.52,6.49,28.5,118.2,151.6,80.7,,,
1996,01,6.86,0.77,6.98,27.3,125.4,161.8,78.8,,,
1996,02,6.74,0.79,6.86,27.5,136.6,177.1,78.9,,,
1996,03,6.78,0.81,6.90,29.2,158.8,200.8,81.1,,,
1996,04,6.86,0.76,6.98,28.4,143.7,183.2,80.1,,,
1996,05,7.08,0.73,7.19,29.1,153.9,194.4,80.6,,,
1996,06,6.94,0.70,7.04,29.6,153.6,196.0,80.0,,,
1996,07,7.20,0.77,7.31,28.5,150.6,191.9,79.9,,,
1996,08,6.96,0.76,7.07,29.6,151.8,193.1,79.9,,,
1996,09,7.00,0.81,7.12,29.5,147.3,189.4,79.9,,,
1996,10,6.83,0.83,6.96,29.1,140.3,177.6,80.5,,,
1996,11,6.72,0.85,6.85,29.3,143.1,180.4,81.0,,,
1996,12,6.68,0.92,6.82,29.1,139.2,178.7,79.1,,,
1997,01,6.80,0.84,6.93,29.2,144.5,185.8,79.8,,,
1997,02,6.79,0.77,6.91,29.7,151.9,190.5,81.1,,,
1997,03,6.86,0.84,6.99,28.7,142.7,181.9,80.0,,,
