"Fannie Mae and Freddie Mac Maximum Loan Limits for Loans Originated in 2009 or 
Originated Between 7/1/07 and 12/31/08 and Purchased in 2009

(These limits were determined under the American Recovery and Reinvestment Act of 2009.  Loans acquired in 2009, but originated prior to 7/1/2007 remain subject to previously-announced 2009 loan limits, which were determined under provisions of the Housing and Economic Recovery Act of 2008).",,,,,,,,
FIPS State Code,FIPS County Code,County Name,CBSA Number,State,One-Unit Limit,Two-Unit Limit,Three-Unit Limit,Four-Unit Limit
05,077,Lee County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,079,Lincoln County,38220,AR,"$417,000","$533,850","$645,300","$801,950"
05,081,Little River County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,083,Logan County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,085,Lonoke County,30780,AR,"$417,000","$533,850","$645,300","$801,950"
05,087,Madison County,22220,AR,"$417,000","$533,850","$645,300","$801,950"
05,089,Marion County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,091,Miller County,45500,AR,"$417,000","$533,850","$645,300","$801,950"
05,093,Mississippi County,14180,AR,"$417,000","$533,850","$645,300","$801,950"
05,095,Monroe County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,097,Montgomery County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,099,Nevada County,26260,AR,"$417,000","$533,850","$645,300","$801,950"
05,101,Newton County,25460,AR,"$417,000","$533,850","$645,300","$801,950"
05,103,Ouachita County,15780,AR,"$417,000","$533,850","$645,300","$801,950"
05,105,Perry County,30780,AR,"$417,000","$533,850","$645,300","$801,950"
05,107,Phillips County,25760,AR,"$417,000","$533,850","$645,300","$801,950"
05,109,Pike County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,111,Poinsett County,27860,AR,"$417,000","$533,850","$645,300","$801,950"
05,113,Polk County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,115,Pope County,40780,AR,"$417,000","$533,850","$645,300","$801,950"
05,117,Prairie County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,119,Pulaski County,30780,AR,"$417,000","$533,850","$645,300","$801,950"
05,121,Randolph County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,123,St. Francis County,22620,AR,"$417,000","$533,850","$645,300","$801,950"
05,125,Saline County,30780,AR,"$417,000","$533,850","$645,300","$801,950"
05,127,Scott County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,129,Searcy County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,131,Sebastian County,22900,AR,"$417,000","$533,850","$645,300","$801,950"
05,133,Sevier County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,135,Sharp County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,137,Stone County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,139,Union County,20980,AR,"$417,000","$533,850","$645,300","$801,950"
05,141,Van Buren County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,143,Washington County,22220,AR,"$417,000","$533,850","$645,300","$801,950"
05,145,White County,42620,AR,"$417,000","$533,850","$645,300","$801,950"
05,147,Woodruff County,99999,AR,"$417,000","$533,850","$645,300","$801,950"
05,149,Yell County,40780,AR,"$417,000","$533,850","$645,300","$801,950"
06,001,Alameda County,41860,CA,"$729,750","$934,200","$1,129,250","$1,403,400"
06,003,Alpine County,99999,CA,"$547,500","$700,900","$847,200","$1,052,900"
06,005,Amador County,99999,CA,"$443,750","$568,050","$686,650","$853,350"
06,007,Butte County,17020,CA,"$417,000","$533,850","$645,300","$801,950"
06,009,Calaveras County,99999,CA,"$462,500","$592,050","$715,700","$889,450"
06,011,Colusa County,99999,CA,"$417,000","$533,850","$645,300","$801,950"
06,013,Contra Costa County,41860,CA,"$729,750","$934,200","$1,129,250","$1,403,400"
06,015,Del Norte County,18860,CA,"$417,000","$533,850","$645,300","$801,950"
06,017,El Dorado County,40900,CA,"$580,000","$742,500","$897,500","$1,115,400"
06,019,Fresno County,23420,CA,"$417,000","$533,850","$645,300","$801,950"
06,021,Glenn County,99999,CA,"$417,000","$533,850","$645,300","$801,950"
06,023,Humboldt County,21700,CA,"$417,000","$533,850","$645,300","$801,950"
06,025,Imperial County,20940,CA,"$417,000","$533,850","$645,300","$801,950"
06,027,Inyo County,13860,CA,"$437,500","$560,050","$677,000","$841,350"
06,029,Kern County,12540,CA,"$417,000","$533,850","$645,300","$801,950"
06,031,Kings County,25260,CA,"$417,000","$533,850","$645,300","$801,950"
06,033,Lake County,17340,CA,"$417,000","$533,850","$645,300","$801,950"
06,035,Lassen County,45000,CA,"$417,000","$533,850","$645,300","$801,950"
06,037,Los Angeles County,31100,CA,"$729,750","$934,200","$1,129,250","$1,403,400"
06,039,Madera County,31460,CA,"$425,000","$544,050","$657,650","$817,300"
06,041,Marin County,41860,CA,"$729,750","$934,200","$1,129,250","$1,403,400"
06,043,Mariposa County,99999,CA,"$417,000","$533,850","$645,300","$801,950"
06,045,Mendocino County,46380,CA,"$512,500","$656,100","$793,050","$985,600"
06,047,Merced County,32900,CA,"$472,500","$604,900","$731,150","$908,650"
06,049,Modoc County,99999,CA,"$417,000","$533,850","$645,300","$801,950"
06,051,Mono County,99999,CA,"$529,000","$677,200","$818,600","$1,017,300"
06,053,Monterey County,41500,CA,"$729,750","$934,200","$1,129,250","$1,403,400"
06,055,Napa County,34900,CA,"$729,750","$934,200","$1,129,250","$1,403,400"
06,057,Nevada County,46020,CA,"$562,500","$720,100","$870,450","$1,081,750"
06,059,Orange County,31100,CA,"$729,750","$934,200","$1,129,250","$1,403,400"
06,061,Placer County,40900,CA,"$580,000","$742,500","$897,500","$1,115,400"
06,063,Plumas County,99999,CA,"$417,000","$533,850","$645,300","$801,950"
06,065,Riverside County,40140,CA,"$500,000","$640,100","$773,700","$961,550"
06,067,Sacramento County,40900,CA,"$580,000","$742,500","$897,500","$1,115,400"
06,069,San Benito County,41940,CA,"$729,750","$934,200","$1,129,250","$1,403,400"
06,071,San Bernardino County,40140,CA,"$500,000","$640,100","$773,700","$961,550"
06,073,San Diego County,41740,CA,"$697,500","$892,950","$1,079,350","$1,341,350"
06,075,San Francisco County,41860,CA,"$729,750","$934,200","$1,129,250","$1,403,400"
06,077,San Joaquin County,44700,CA,"$488,750","$625,700","$756,300","$939,900"
06,079,San Luis Obispo County,42020,CA,"$687,500","$880,100","$1,063,850","$1,322,150"
06,081,San Mateo County,41860,CA,"$729,750","$934,200","$1,129,250","$1,403,400"
06,083,Santa Barbara County,42060,CA,"$729,750","$934,200","$1,129,250","$1,403,400"
06,085,Santa Clara County,41940,CA,"$729,750","$934,200","$1,129,250","$1,403,400"
06,087,Santa Cruz County,42100,CA,"$729,750","$934,200","$1,129,250","$1,403,400"
06,089,Shasta County,39820,CA,"$423,750","$542,450","$655,700","$814,900"
06,091,Sierra County,99999,CA,"$417,000","$533,850","$645,300","$801,950"
06,093,Siskiyou County,99999,CA,"$417,000","$533,850","$645,300","$801,950"
06,095,Solano County,46700,CA,"$557,500","$713,700","$862,700","$1,072,150"
06,097,Sonoma County,42220,CA,"$662,500","$848,100","$1,025,200","$1,274,050"
06,099,Stanislaus County,33700,CA,"$423,750","$542,450","$655,700","$814,900"
06,101,Sutter County,49700,CA,"$425,000","$544,050","$657,650","$817,300"
06,103,Tehama County,39780,CA,"$417,000","$533,850","$645,300","$801,950"
06,105,Trinity County,99999,CA,"$417,000","$533,850","$645,300","$801,950"
06,107,Tulare County,47300,CA,"$417,000","$533,850","$645,300","$801,950"
06,109,Tuolumne County,38020,CA,"$437,500","$560,050","$677,000","$841,350"
06,111,Ventura County,37100,CA,"$729,750","$934,200","$1,129,250","$1,403,400"
06,113,Yolo County,40900,CA,"$580,000","$742,500","$897,500","$1,115,400"
06,115,Yuba County,49700,CA,"$425,000","$544,050","$657,650","$817,300"
08,001,Adams County,19740,CO,"$417,000","$533,850","$645,300","$801,950"
08,003,Alamosa County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,005,Arapahoe County,19740,CO,"$417,000","$533,850","$645,300","$801,950"
08,007,Archuleta County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,009,Baca County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,011,Bent County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,013,Boulder County,14500,CO,"$460,000","$588,850","$711,800","$884,600"
08,014,Broomfield County,19740,CO,"$417,000","$533,850","$645,300","$801,950"
08,015,Chaffee County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,017,Cheyenne County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,019,Clear Creek County,19740,CO,"$417,000","$533,850","$645,300","$801,950"
08,021,Conejos County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,023,Costilla County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,025,Crowley County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,027,Custer County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,029,Delta County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,031,Denver County,19740,CO,"$417,000","$533,850","$645,300","$801,950"
08,033,Dolores County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,035,Douglas County,19740,CO,"$417,000","$533,850","$645,300","$801,950"
08,037,Eagle County,20780,CO,"$729,750","$934,200","$1,129,250","$1,403,400"
08,039,Elbert County,19740,CO,"$417,000","$533,850","$645,300","$801,950"
08,041,El Paso County,17820,CO,"$417,000","$533,850","$645,300","$801,950"
08,043,Fremont County,15860,CO,"$417,000","$533,850","$645,300","$801,950"
08,045,Garfield County,99999,CO,"$425,000","$544,050","$657,650","$817,300"
08,047,Gilpin County,19740,CO,"$417,000","$533,850","$645,300","$801,950"
08,049,Grand County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,051,Gunnison County,99999,CO,"$433,750","$555,250","$671,200","$834,150"
08,053,Hinsdale County,99999,CO,"$557,500","$713,700","$862,700","$1,072,150"
08,055,Huerfano County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,057,Jackson County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,059,Jefferson County,19740,CO,"$417,000","$533,850","$645,300","$801,950"
08,061,Kiowa County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,063,Kit Carson County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,065,Lake County,20780,CO,"$729,750","$934,200","$1,129,250","$1,403,400"
08,067,La Plata County,20420,CO,"$443,750","$568,050","$686,650","$853,350"
08,069,Larimer County,22660,CO,"$417,000","$533,850","$645,300","$801,950"
08,071,Las Animas County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,073,Lincoln County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,075,Logan County,44540,CO,"$417,000","$533,850","$645,300","$801,950"
08,077,Mesa County,24300,CO,"$417,000","$533,850","$645,300","$801,950"
08,079,Mineral County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,081,Moffat County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,083,Montezuma County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,085,Montrose County,33940,CO,"$417,000","$533,850","$645,300","$801,950"
08,087,Morgan County,22820,CO,"$417,000","$533,850","$645,300","$801,950"
08,089,Otero County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
08,091,Ouray County,99999,CO,"$482,500","$617,700","$746,650","$927,900"
08,093,Park County,19740,CO,"$417,000","$533,850","$645,300","$801,950"
08,095,Phillips County,99999,CO,"$417,000","$533,850","$645,300","$801,950"
