01.Jan.1990W !W, MBAM@haverw , MBAMP@haverw , MBAMR@HAVERW ,MBA30C@HAVERW
.DESC,"MBA: Market Volume Index: All Mortgage Loan Applications (SA, Mar-16-90=100)"," MBA: Volume Index: Mortgage Loan Applications for Purchase (SA, Mar-16-90=100) "," MBA: Volume Index: Mortgage Loan Applications for Refinancing(SA, Mar-16-90=100) ",MBA: FRM 30-Year: Contract Interest Rate (%)
.FRQ,Weekly (Fri), Weekly (Fri) , Weekly (Fri) ,Weekly (Fri)
03.Mar.1995W,128.6,134.2,95.6,8.65
10.Mar.1995W,129.2,135.2,94.4,8.54
17.Mar.1995W,137.8,143.2,106.0,8.42
24.Mar.1995W,134.5,138.7,109.8,8.52
31.Mar.1995W,141.1,146.0,113.0,8.58
07.Apr.1995W,132.1,136.8,105.0,8.50
14.Apr.1995W,171.1,177.9,131.4,8.34
21.Apr.1995W,136.1,138.7,120.5,8.29
28.Apr.1995W,142.9,146.7,120.9,8.38
05.May.1995W,143.8,145.7,132.2,8.02
12.May.1995W,183.4,173.8,239.1,7.98
19.May.1995W,167.0,153.9,243.4,7.99
26.May.1995W,164.2,151.2,239.9,7.78
02.Jun.1995W,204.9,183.2,331.1,7.51
09.Jun.1995W,228.2,184.6,481.6,7.63
16.Jun.1995W,206.4,169.8,418.9,7.70
23.Jun.1995W,190.5,157.8,381.3,7.53
30.Jun.1995W,200.8,165.8,404.3,7.70
07.Jul.1995W,175.6,153.2,305.9,7.52
14.Jul.1995W,226.1,174.8,524.3,7.57
21.Jul.1995W,215.1,165.5,504.0,7.86
28.Jul.1995W,188.2,153.4,390.6,7.86
04.Aug.1995W,184.5,156.7,346.3,7.92
11.Aug.1995W,181.0,155.6,328.7,7.95
18.Aug.1995W,170.6,151.3,283.0,7.97
25.Aug.1995W,174.6,153.8,295.9,7.85
01.Sep.1995W,215.3,185.8,387.0,7.74
08.Sep.1995W,227.9,190.7,444.2,7.66
15.Sep.1995W,222.9,184.6,445.4,7.62
22.Sep.1995W,241.3,202.1,468.9,7.77
29.Sep.1995W,211.4,180.3,392.8,7.73
06.Oct.1995W,221.4,180.7,458.2,7.60
13.Oct.1995W,228.3,184.6,482.7,7.48
20.Oct.1995W,245.8,193.7,549.0,7.51
27.Oct.1995W,241.5,188.9,547.5,7.59
03.Nov.1995W,237.9,183.7,553.0,7.47
10.Nov.1995W,272.2,199.1,697.4,7.47
17.Nov.1995W,257.5,197.7,604.9,7.45
24.Nov.1995W,231.5,173.0,571.6,7.48
01.Dec.1995W,246.1,198.6,522.3,7.32
08.Dec.1995W,280.4,213.9,667.0,7.22
15.Dec.1995W,256.4,190.0,642.5,7.23
22.Dec.1995W,297.5,218.3,758.6,7.21
29.Dec.1995W,277.3,202.6,711.7,7.12
05.Jan.1996W,255.2,170.4,748.2,7.14
12.Jan.1996W,261.2,165.8,816.1,7.19
19.Jan.1996W,284.4,180.9,886.6,7.10
26.Jan.1996W,323.7,189.8,1102.4,7.20
02.Feb.1996W,290.2,163.3,1028.4,7.07
09.Feb.1996W,291.5,157.4,1071.4,7.13
16.Feb.1996W,322.5,173.0,1192.4,7.24
23.Feb.1996W,336.2,199.9,1129.0,7.40
01.Mar.1996W,305.7,181.3,1029.5,7.48
08.Mar.1996W,252.4,173.4,712.4,7.82
15.Mar.1996W,233.4,176.4,564.7,7.91
22.Mar.1996W,208.6,164.9,462.9,7.86
29.Mar.1996W,257.2,200.5,586.6,7.89
05.Apr.1996W,233.4,195.1,456.6,8.04
12.Apr.1996W,191.7,166.7,336.9,8.07
19.Apr.1996W,193.7,172.4,317.6,8.02
26.Apr.1996W,195.1,175.2,311.1,8.04
03.May.1996W,230.0,209.6,348.2,8.28
10.May.1996W,182.1,172.0,241.0,8.18
17.May.1996W,182.8,175.5,225.2,8.11
24.May.1996W,188.0,178.4,243.9,8.13
31.May.1996W,223.8,210.2,302.6,8.28
07.Jun.1996W,190.1,183.9,226.1,8.32
14.Jun.1996W,183.1,181.4,192.5,8.35
21.Jun.1996W,182.1,175.5,220.0,8.33
28.Jun.1996W,198.0,193.9,221.7,8.24
05.Jul.1996W,200.2,197.6,215.2,8.30
