"HPI for states (All-Transactions Index)
Experimental Indexes Showing Cumulative (Nominal) Annual Appreciation",,,,,,,,
,,,,,,,,
"* These annual state indexes should be considered developmental. As with the standard FHFA HPIs, revisions to these indexes may reflect the impact of new data or technical adjustments. Indexes are calibrated using appraisal values and sales prices for mortgages bought or guaranteed by Fannie Mae and Freddie Mac. In cases where sample sizes are small for the state, an index is either not reported if recording has not started or a missing value is reported with a period ("".""). Index values always reflect only that native state, i.e. they are not made with data from another area or year. Three HPI values are provided and, since the indexes reflect cumulative appreciation since a certain period, the values reflect the base year being used (annual appreciations are the same). Column A is the state name, Column B is the state abbreviation, Column C is the state FIPS code, Column D is the year, Column E is the annual change, Column F is the index value with a base of 100 when first recorded, Column G is the index value with a base of 100 in 1990, and Column H is the index value with a base of 100 in 2000. If a state HPI has a missing value in Column F in 1990 or 2000 then the state HPI will have blank values in Column G or H, respectively.",,,,,,,,
"** For tracking and feedback purposes, please cite one of the associated papers. Three FHFA working papers (WP 16-01, WP 16-02, and WP 16-04) discuss different aspects of the data and each have been published by journals. A suggested citation is: Bogin, Alexander N., Doerner, William M. and Larson, William D. (2019). ""Local House Price Dynamics: New Indices and Stylized Facts"". Real Estate Economics, volume 47, issue 2, pages 365-398. The initial FHFA WP 16-01 is accessible at http://www.fhfa.gov/papers/wp1601.aspx.",,,,,,,,
"Last updated: April 19, 2019.",,,,,,,,
Not Seasonally Adjusted (NSA) ,,,,,,,,
State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,
Connecticut,CT,09,1990,-4.97,385.68,100.00,93.58,
Connecticut,CT,09,1991,-5.60,364.09,94.40,88.34,
Connecticut,CT,09,1992,-1.76,357.66,92.74,86.79,
Connecticut,CT,09,1993,-2.93,347.20,90.02,84.24,
Connecticut,CT,09,1994,-1.99,340.28,88.23,82.57,
Connecticut,CT,09,1995,-0.77,337.67,87.55,81.93,
Connecticut,CT,09,1996,1.12,341.47,88.54,82.85,
Connecticut,CT,09,1997,1.07,345.10,89.48,83.74,
Connecticut,CT,09,1998,4.12,359.31,93.16,87.18,
Connecticut,CT,09,1999,4.90,376.90,97.72,91.45,
Connecticut,CT,09,2000,9.35,412.13,106.86,100.00,
Connecticut,CT,09,2001,7.57,443.32,114.95,107.57,
Connecticut,CT,09,2002,8.30,480.11,124.49,116.50,
Connecticut,CT,09,2003,5.97,508.78,131.92,123.45,
Connecticut,CT,09,2004,10.90,564.24,146.30,136.91,
Connecticut,CT,09,2005,12.33,633.80,164.34,153.79,
Connecticut,CT,09,2006,5.78,670.43,173.83,162.68,
Connecticut,CT,09,2007,0.02,670.56,173.87,162.71,
Connecticut,CT,09,2008,-3.67,645.92,167.48,156.73,
Connecticut,CT,09,2009,-7.25,599.11,155.34,145.37,
Connecticut,CT,09,2010,-4.20,573.98,148.82,139.27,
Connecticut,CT,09,2011,-3.68,552.88,143.35,134.15,
Connecticut,CT,09,2012,-3.10,535.73,138.91,129.99,
Connecticut,CT,09,2013,-0.80,531.44,137.80,128.95,
Connecticut,CT,09,2014,0.10,531.99,137.94,129.09,
Connecticut,CT,09,2015,1.08,537.72,139.42,130.48,
Connecticut,CT,09,2016,0.13,538.41,139.60,130.64,
Connecticut,CT,09,2017,1.28,545.29,141.39,132.31,
Connecticut,CT,09,2018,1.28,552.27,143.20,134.01,
Delaware,DE,10,1975,.,100.00,36.10,31.08,
Delaware,DE,10,1976,2.44,102.44,36.98,31.84,
Delaware,DE,10,1977,-3.10,99.26,35.83,30.85,
Delaware,DE,10,1978,8.20,107.39,38.77,33.38,
Delaware,DE,10,1979,5.87,113.69,41.05,35.34,
Delaware,DE,10,1980,16.52,132.48,47.83,41.18,
Delaware,DE,10,1981,7.57,142.51,51.45,44.30,
Delaware,DE,10,1982,2.78,146.48,52.88,45.53,
Delaware,DE,10,1983,5.19,154.08,55.62,47.89,
Delaware,DE,10,1984,9.06,168.04,60.67,52.23,
Delaware,DE,10,1985,7.31,180.32,65.10,56.05,
Delaware,DE,10,1986,9.59,197.62,71.34,61.42,
Delaware,DE,10,1987,11.02,219.39,79.20,68.19,
Delaware,DE,10,1988,12.33,246.43,88.96,76.60,
Delaware,DE,10,1989,9.67,270.27,97.57,84.01,
Delaware,DE,10,1990,2.49,276.99,100.00,86.10,
Delaware,DE,10,1991,1.24,280.42,101.24,87.16,
Delaware,DE,10,1992,0.35,281.41,101.59,87.47,
Delaware,DE,10,1993,-0.44,280.17,101.15,87.08,
Delaware,DE,10,1994,-1.16,276.93,99.98,86.08,
Delaware,DE,10,1995,-0.03,276.85,99.95,86.05,
Delaware,DE,10,1996,1.68,281.51,101.63,87.50,
Delaware,DE,10,1997,1.37,285.38,103.03,88.70,
Delaware,DE,10,1998,2.48,292.46,105.58,90.90,
Delaware,DE,10,1999,3.46,302.58,109.24,94.05,
Delaware,DE,10,2000,6.33,321.72,116.15,100.00,
Delaware,DE,10,2001,6.79,343.57,124.04,106.79,
Delaware,DE,10,2002,6.83,367.02,132.50,114.08,
Delaware,DE,10,2003,6.34,390.30,140.91,121.32,
Delaware,DE,10,2004,12.77,440.16,158.91,136.81,
Delaware,DE,10,2005,15.68,509.17,183.82,158.26,
Delaware,DE,10,2006,8.77,553.85,199.95,172.15,
Delaware,DE,10,2007,2.60,568.25,205.15,176.63,
Delaware,DE,10,2008,-3.04,550.98,198.92,171.26,
Delaware,DE,10,2009,-6.76,513.73,185.47,159.68,
Delaware,DE,10,2010,-4.76,489.28,176.64,152.08,
Delaware,DE,10,2011,-5.69,461.45,166.59,143.43,
Delaware,DE,10,2012,-3.04,447.44,161.53,139.08,
Delaware,DE,10,2013,0.76,450.84,162.76,140.13,
Delaware,DE,10,2014,2.12,460.42,166.22,143.11,
Delaware,DE,10,2015,2.29,470.96,170.02,146.39,
Delaware,DE,10,2016,2.10,480.87,173.60,149.47,
Delaware,DE,10,2017,1.67,488.88,176.50,151.96,
Delaware,DE,10,2018,4.00,508.45,183.56,158.04,
District of Columbia,DC,11,1975,.,100.00,28.52,21.83,
District of Columbia,DC,11,1976,11.03,111.03,31.66,24.23,
District of Columbia,DC,11,1977,14.23,126.84,36.17,27.68,
District of Columbia,DC,11,1978,15.69,146.74,41.85,32.03,
District of Columbia,DC,11,1979,18.29,173.59,49.50,37.89,
District of Columbia,DC,11,1980,7.53,186.66,53.23,40.74,
District of Columbia,DC,11,1981,-1.11,184.59,52.64,40.29,
District of Columbia,DC,11,1982,1.45,187.27,53.40,40.87,
