"HPI for states (All-Transactions Index)
Experimental Indexes Showing Cumulative (Nominal) Annual Appreciation",,,,,,,,
,,,,,,,,
"* These annual state indexes should be considered developmental. As with the standard FHFA HPIs, revisions to these indexes may reflect the impact of new data or technical adjustments. Indexes are calibrated using appraisal values and sales prices for mortgages bought or guaranteed by Fannie Mae and Freddie Mac. In cases where sample sizes are small for the state, an index is either not reported if recording has not started or a missing value is reported with a period ("".""). Index values always reflect only that native state, i.e. they are not made with data from another area or year. Three HPI values are provided and, since the indexes reflect cumulative appreciation since a certain period, the values reflect the base year being used (annual appreciations are the same). Column A is the state name, Column B is the state abbreviation, Column C is the state FIPS code, Column D is the year, Column E is the annual change, Column F is the index value with a base of 100 when first recorded, Column G is the index value with a base of 100 in 1990, and Column H is the index value with a base of 100 in 2000. If a state HPI has a missing value in Column F in 1990 or 2000 then the state HPI will have blank values in Column G or H, respectively.",,,,,,,,
"** For tracking and feedback purposes, please cite one of the associated papers. Three FHFA working papers (WP 16-01, WP 16-02, and WP 16-04) discuss different aspects of the data and each have been published by journals. A suggested citation is: Bogin, Alexander N., Doerner, William M. and Larson, William D. (2019). ""Local House Price Dynamics: New Indices and Stylized Facts"". Real Estate Economics, volume 47, issue 2, pages 365-398. The initial FHFA WP 16-01 is accessible at http://www.fhfa.gov/papers/wp1601.aspx.",,,,,,,,
"Last updated: April 19, 2019.",,,,,,,,
Not Seasonally Adjusted (NSA) ,,,,,,,,
State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,
Nebraska,NE,31,2014,3.74,385.31,195.91,125.52,
Nebraska,NE,31,2015,3.83,400.07,203.41,130.33,
Nebraska,NE,31,2016,4.23,417.00,212.02,135.85,
Nebraska,NE,31,2017,6.06,442.28,224.87,144.08,
Nebraska,NE,31,2018,5.29,465.66,236.76,151.70,
Nevada,NV,32,1975,.,100.00,37.45,28.44,
Nevada,NV,32,1976,10.84,110.84,41.51,31.52,
Nevada,NV,32,1977,14.73,127.17,47.62,36.16,
Nevada,NV,32,1978,19.52,151.99,56.92,43.22,
Nevada,NV,32,1979,18.37,179.91,67.38,51.16,
Nevada,NV,32,1980,6.01,190.72,71.43,54.24,
Nevada,NV,32,1981,11.39,212.45,79.56,60.42,
Nevada,NV,32,1982,5.43,223.98,83.88,63.69,
Nevada,NV,32,1983,-2.44,218.51,81.83,62.14,
Nevada,NV,32,1984,-0.10,218.29,81.75,62.08,
Nevada,NV,32,1985,1.26,221.04,82.78,62.86,
Nevada,NV,32,1986,3.66,229.12,85.81,65.16,
Nevada,NV,32,1987,1.04,231.51,86.70,65.84,
Nevada,NV,32,1988,2.55,237.41,88.91,67.52,
Nevada,NV,32,1989,4.86,248.95,93.23,70.80,
Nevada,NV,32,1990,7.26,267.02,100.00,75.94,
Nevada,NV,32,1991,5.57,281.89,105.57,80.16,
Nevada,NV,32,1992,2.99,290.33,108.73,82.56,
Nevada,NV,32,1993,1.83,295.65,110.72,84.08,
Nevada,NV,32,1994,1.55,300.22,112.43,85.38,
Nevada,NV,32,1995,3.90,311.93,116.82,88.71,
Nevada,NV,32,1996,2.49,319.71,119.73,90.92,
Nevada,NV,32,1997,2.50,327.71,122.73,93.19,
Nevada,NV,32,1998,2.10,334.60,125.31,95.15,
Nevada,NV,32,1999,1.37,339.17,127.02,96.45,
Nevada,NV,32,2000,3.68,351.64,131.69,100.00,
Nevada,NV,32,2001,6.25,373.63,139.93,106.25,
Nevada,NV,32,2002,6.15,396.61,148.53,112.79,
Nevada,NV,32,2003,6.08,420.71,157.56,119.64,
Nevada,NV,32,2004,26.27,531.21,198.94,151.07,
Nevada,NV,32,2005,24.19,659.72,247.07,187.61,
Nevada,NV,32,2006,8.75,717.42,268.68,204.02,
Nevada,NV,32,2007,-3.16,694.78,260.20,197.58,
Nevada,NV,32,2008,-18.91,563.37,210.98,160.21,
Nevada,NV,32,2009,-23.14,433.01,162.16,123.14,
Nevada,NV,32,2010,-14.43,370.52,138.76,105.37,
Nevada,NV,32,2011,-12.18,325.41,121.87,92.54,
Nevada,NV,32,2012,-1.46,320.64,120.08,91.18,
Nevada,NV,32,2013,15.16,369.25,138.29,105.01,
Nevada,NV,32,2014,17.74,434.76,162.82,123.64,
Nevada,NV,32,2015,9.38,475.56,178.10,135.24,
Nevada,NV,32,2016,9.31,519.81,194.67,147.82,
Nevada,NV,32,2017,9.50,569.17,213.16,161.86,
Nevada,NV,32,2018,13.77,647.52,242.50,184.14,
New Hampshire,NH,33,1975,.,100.00,30.66,24.94,
New Hampshire,NH,33,1976,1.40,101.40,31.09,25.29,
New Hampshire,NH,33,1977,11.56,113.13,34.69,28.22,
New Hampshire,NH,33,1978,8.18,122.38,37.53,30.53,
New Hampshire,NH,33,1979,19.92,146.77,45.00,36.61,
New Hampshire,NH,33,1980,7.38,157.60,48.32,39.31,
New Hampshire,NH,33,1981,4.56,164.78,50.52,41.10,
New Hampshire,NH,33,1982,7.17,176.59,54.15,44.05,
New Hampshire,NH,33,1983,4.50,184.54,56.58,46.03,
New Hampshire,NH,33,1984,15.71,213.53,65.47,53.26,
New Hampshire,NH,33,1985,16.51,248.78,76.28,62.05,
New Hampshire,NH,33,1986,18.25,294.19,90.20,73.38,
New Hampshire,NH,33,1987,12.62,331.32,101.59,82.64,
New Hampshire,NH,33,1988,4.84,347.37,106.51,86.65,
New Hampshire,NH,33,1989,0.37,348.66,106.91,86.97,
New Hampshire,NH,33,1990,-6.46,326.14,100.00,81.35,
New Hampshire,NH,33,1991,-8.47,298.53,91.53,74.46,
New Hampshire,NH,33,1992,-3.65,287.64,88.20,71.75,
New Hampshire,NH,33,1993,-1.30,283.91,87.05,70.82,
New Hampshire,NH,33,1994,-0.26,283.16,86.82,70.63,
New Hampshire,NH,33,1995,1.34,286.96,87.99,71.58,
New Hampshire,NH,33,1996,2.98,295.51,90.61,73.71,
New Hampshire,NH,33,1997,3.52,305.93,93.80,76.31,
New Hampshire,NH,33,1998,5.85,323.81,99.29,80.77,
New Hampshire,NH,33,1999,7.72,348.81,106.95,87.00,
New Hampshire,NH,33,2000,14.94,400.91,122.93,100.00,
New Hampshire,NH,33,2001,11.07,445.31,136.54,111.07,
New Hampshire,NH,33,2002,10.63,492.66,151.06,122.89,
New Hampshire,NH,33,2003,6.90,526.64,161.48,131.36,
New Hampshire,NH,33,2004,10.80,583.54,178.92,145.55,
New Hampshire,NH,33,2005,10.55,645.08,197.80,160.90,
New Hampshire,NH,33,2006,2.86,663.54,203.45,165.51,
New Hampshire,NH,33,2007,-1.74,652.00,199.92,162.63,
New Hampshire,NH,33,2008,-3.95,626.24,192.02,156.20,
New Hampshire,NH,33,2009,-7.56,578.91,177.50,144.40,
New Hampshire,NH,33,2010,-4.43,553.25,169.64,138.00,
New Hampshire,NH,33,2011,-3.28,535.08,164.07,133.47,
New Hampshire,NH,33,2012,-2.54,521.50,159.90,130.08,
New Hampshire,NH,33,2013,0.77,525.54,161.14,131.09,
New Hampshire,NH,33,2014,3.74,545.17,167.16,135.98,
New Hampshire,NH,33,2015,3.29,563.08,172.65,140.45,
New Hampshire,NH,33,2016,3.98,585.49,179.52,146.04,
New Hampshire,NH,33,2017,5.58,618.16,189.54,154.19,
New Hampshire,NH,33,2018,5.81,654.08,200.56,163.15,
New Jersey,NJ,34,1975,.,100.00,27.78,22.98,
New Jersey,NJ,34,1976,2.85,102.85,28.57,23.63,
New Jersey,NJ,34,1977,4.88,107.87,29.97,24.79,
New Jersey,NJ,34,1978,10.86,119.58,33.22,27.48,
New Jersey,NJ,34,1979,18.23,141.38,39.27,32.49,
New Jersey,NJ,34,1980,13.20,160.04,44.46,36.77,
New Jersey,NJ,34,1981,7.61,172.22,47.84,39.57,
New Jersey,NJ,34,1982,3.86,178.88,49.69,41.10,
New Jersey,NJ,34,1983,4.49,186.90,51.92,42.95,
New Jersey,NJ,34,1984,14.59,214.17,59.49,49.21,
New Jersey,NJ,34,1985,13.23,242.50,67.37,55.72,
New Jersey,NJ,34,1986,17.58,285.14,79.21,65.52,
New Jersey,NJ,34,1987,17.39,334.72,92.98,76.91,
New Jersey,NJ,34,1988,10.77,370.79,103.00,85.20,
New Jersey,NJ,34,1989,0.41,372.32,103.43,85.55,
New Jersey,NJ,34,1990,-3.32,359.98,100.00,82.71,
New Jersey,NJ,34,1991,-3.92,345.85,96.08,79.47,
New Jersey,NJ,34,1992,0.56,347.80,96.62,79.91,
New Jersey,NJ,34,1993,0.71,350.27,97.30,80.48,
New Jersey,NJ,34,1994,0.24,351.10,97.53,80.67,
New Jersey,NJ,34,1995,0.19,351.76,97.72,80.83,
New Jersey,NJ,34,1996,1.74,357.87,99.42,82.23,
New Jersey,NJ,34,1997,1.75,364.15,101.16,83.67,
New Jersey,NJ,34,1998,3.36,376.38,104.56,86.48,
New Jersey,NJ,34,1999,4.67,393.94,109.44,90.52,
New Jersey,NJ,34,2000,10.48,435.21,120.90,100.00,
New Jersey,NJ,34,2001,9.15,475.04,131.96,109.15,
New Jersey,NJ,34,2002,10.45,524.67,145.75,120.55,
New Jersey,NJ,34,2003,7.56,564.31,156.76,129.66,
New Jersey,NJ,34,2004,13.84,642.39,178.45,147.61,
New Jersey,NJ,34,2005,15.83,744.12,206.71,170.98,
New Jersey,NJ,34,2006,8.52,807.49,224.32,185.54,
New Jersey,NJ,34,2007,-0.21,805.77,223.84,185.15,
New Jersey,NJ,34,2008,-4.57,768.93,213.61,176.68,
New Jersey,NJ,34,2009,-8.34,704.80,195.79,161.94,
New Jersey,NJ,34,2010,-3.97,676.84,188.02,155.52,
New Jersey,NJ,34,2011,-4.25,648.09,180.04,148.91,
New Jersey,NJ,34,2012,-3.69,624.16,173.39,143.42,
New Jersey,NJ,34,2013,0.37,626.49,174.04,143.95,
New Jersey,NJ,34,2014,2.92,644.78,179.12,148.15,
New Jersey,NJ,34,2015,2.06,658.08,182.81,151.21,
New Jersey,NJ,34,2016,2.35,673.53,187.10,154.76,
New Jersey,NJ,34,2017,2.65,691.36,192.06,158.86,
New Jersey,NJ,34,2018,3.39,714.78,198.56,164.24,
New Mexico,NM,35,1975,.,100.00,43.09,29.96,
New Mexico,NM,35,1976,10.14,110.14,47.46,33.00,
New Mexico,NM,35,1977,14.14,125.71,54.17,37.66,
New Mexico,NM,35,1978,10.19,138.52,59.69,41.50,
New Mexico,NM,35,1979,15.02,159.33,68.66,47.73,
New Mexico,NM,35,1980,9.63,174.68,75.27,52.33,
New Mexico,NM,35,1981,13.68,198.58,85.57,59.49,
New Mexico,NM,35,1982,12.11,222.63,95.94,66.70,
New Mexico,NM,35,1983,-1.37,219.57,94.62,65.78,
New Mexico,NM,35,1984,0.62,220.94,95.21,66.19,
New Mexico,NM,35,1985,1.15,223.48,96.30,66.95,
New Mexico,NM,35,1986,2.98,230.15,99.18,68.95,
New Mexico,NM,35,1987,-0.26,229.54,98.92,68.77,
New Mexico,NM,35,1988,-1.74,225.55,97.19,67.57,
New Mexico,NM,35,1989,1.82,229.64,98.96,68.80,
New Mexico,NM,35,1990,1.05,232.06,100.00,69.52,
New Mexico,NM,35,1991,2.88,238.74,102.88,71.52,
New Mexico,NM,35,1992,4.15,248.64,107.14,74.49,
New Mexico,NM,35,1993,5.63,262.64,113.18,78.68,
New Mexico,NM,35,1994,8.93,286.09,123.28,85.71,
New Mexico,NM,35,1995,7.59,307.79,132.63,92.21,
New Mexico,NM,35,1996,2.09,314.23,135.41,94.14,
New Mexico,NM,35,1997,1.82,319.94,137.87,95.85,
New Mexico,NM,35,1998,1.31,324.14,139.68,97.10,
New Mexico,NM,35,1999,1.18,327.97,141.33,98.25,
New Mexico,NM,35,2000,1.78,333.80,143.84,100.00,
New Mexico,NM,35,2001,3.40,345.15,148.73,103.40,
New Mexico,NM,35,2002,3.03,355.59,153.23,106.53,
New Mexico,NM,35,2003,3.43,367.80,158.49,110.19,
New Mexico,NM,35,2004,6.67,392.34,169.07,117.54,
New Mexico,NM,35,2005,11.95,439.23,189.27,131.58,
New Mexico,NM,35,2006,12.82,495.56,213.55,148.46,
New Mexico,NM,35,2007,5.56,523.13,225.43,156.72,
New Mexico,NM,35,2008,-1.14,517.18,222.86,154.94,
New Mexico,NM,35,2009,-5.21,490.25,211.26,146.87,
New Mexico,NM,35,2010,-4.27,469.34,202.25,140.61,
New Mexico,NM,35,2011,-4.42,448.60,193.31,134.39,
New Mexico,NM,35,2012,-2.90,435.59,187.70,130.49,
New Mexico,NM,35,2013,0.94,439.70,189.48,131.73,
New Mexico,NM,35,2014,1.08,444.47,191.53,133.15,
New Mexico,NM,35,2015,1.72,452.10,194.82,135.44,
New Mexico,NM,35,2016,2.54,463.58,199.77,138.88,
New Mexico,NM,35,2017,3.54,479.98,206.83,143.79,
New Mexico,NM,35,2018,3.06,494.67,213.16,148.19,
New York,NY,36,1975,.,100.00,30.52,25.05,
New York,NY,36,1976,-4.12,95.88,29.27,24.02,
New York,NY,36,1977,9.69,105.17,32.10,26.34,
New York,NY,36,1978,2.94,108.26,33.05,27.12,
New York,NY,36,1979,13.26,122.62,37.43,30.72,
New York,NY,36,1980,15.28,141.36,43.15,35.41,
New York,NY,36,1981,5.18,148.68,45.38,37.25,
New York,NY,36,1982,13.35,168.53,51.44,42.22,
New York,NY,36,1983,4.36,175.88,53.69,44.06,
New York,NY,36,1984,13.83,200.19,61.11,50.15,
New York,NY,36,1985,15.32,230.87,70.47,57.83,
New York,NY,36,1986,14.54,264.44,80.72,66.24,
New York,NY,36,1987,13.16,299.23,91.34,74.96,
New York,NY,36,1988,8.90,325.85,99.47,81.63,
New York,NY,36,1989,1.34,330.21,100.80,82.72,
New York,NY,36,1990,-0.79,327.60,100.00,82.07,
New York,NY,36,1991,-1.37,323.13,98.63,80.95,
New York,NY,36,1992,1.08,326.61,99.70,81.82,
New York,NY,36,1993,-0.23,325.85,99.47,81.63,
New York,NY,36,1994,-1.72,320.25,97.76,80.22,
New York,NY,36,1995,-0.21,319.57,97.55,80.05,
New York,NY,36,1996,1.59,324.65,99.10,81.33,
New York,NY,36,1997,1.07,328.13,100.16,82.20,
New York,NY,36,1998,4.09,341.55,104.26,85.56,
New York,NY,36,1999,5.30,359.65,109.78,90.10,
New York,NY,36,2000,10.99,399.19,121.85,100.00,
New York,NY,36,2001,7.83,430.45,131.40,107.83,
New York,NY,36,2002,8.41,466.67,142.45,116.90,
New York,NY,36,2003,7.66,502.43,153.37,125.86,
New York,NY,36,2004,11.06,557.98,170.32,139.78,
New York,NY,36,2005,13.35,632.46,193.06,158.44,
New York,NY,36,2006,6.45,673.28,205.52,168.66,
New York,NY,36,2007,0.39,675.89,206.31,169.31,
New York,NY,36,2008,-2.41,659.62,201.35,165.24,
New York,NY,36,2009,-5.67,622.22,189.93,155.87,
New York,NY,36,2010,-3.07,603.12,184.10,151.08,
New York,NY,36,2011,-2.33,589.04,179.80,147.56,
New York,NY,36,2012,-2.41,574.85,175.47,144.00,
New York,NY,36,2013,0.74,579.12,176.77,145.07,
New York,NY,36,2014,2.49,593.56,181.18,148.69,
New York,NY,36,2015,2.79,610.10,186.23,152.83,
New York,NY,36,2016,3.43,631.06,192.63,158.08,
New York,NY,36,2017,4.63,660.27,201.55,165.40,
New York,NY,36,2018,5.20,694.59,212.02,174.00,
North Carolina,NC,37,1975,.,100.00,42.77,30.43,
North Carolina,NC,37,1976,4.67,104.67,44.77,31.85,
North Carolina,NC,37,1977,7.65,112.68,48.19,34.29,
North Carolina,NC,37,1978,10.81,124.86,53.40,38.00,
North Carolina,NC,37,1979,10.26,137.66,58.88,41.90,
North Carolina,NC,37,1980,8.57,149.46,63.92,45.49,
North Carolina,NC,37,1981,6.52,159.21,68.09,48.45,
North Carolina,NC,37,1982,3.12,164.18,70.22,49.97,
North Carolina,NC,37,1983,2.78,168.74,72.17,51.36,
North Carolina,NC,37,1984,8.00,182.23,77.94,55.46,
North Carolina,NC,37,1985,6.76,194.55,83.21,59.21,
North Carolina,NC,37,1986,4.38,203.07,86.85,61.80,
North Carolina,NC,37,1987,4.61,212.42,90.85,64.65,
North Carolina,NC,37,1988,4.93,222.89,95.33,67.84,
North Carolina,NC,37,1989,2.95,229.47,98.14,69.84,
North Carolina,NC,37,1990,1.89,233.81,100.00,71.16,
North Carolina,NC,37,1991,1.53,237.38,101.53,72.25,
North Carolina,NC,37,1992,1.67,241.33,103.22,73.45,
North Carolina,NC,37,1993,1.61,245.23,104.89,74.64,
North Carolina,NC,37,1994,3.85,254.67,108.92,77.51,
North Carolina,NC,37,1995,5.62,268.97,115.04,81.86,
North Carolina,NC,37,1996,4.02,279.77,119.66,85.15,
North Carolina,NC,37,1997,4.69,292.90,125.28,89.14,
North Carolina,NC,37,1998,3.56,303.33,129.73,92.32,
North Carolina,NC,37,1999,3.53,314.02,134.31,95.57,
North Carolina,NC,37,2000,4.63,328.57,140.53,100.00,
North Carolina,NC,37,2001,3.96,341.60,146.10,103.96,
North Carolina,NC,37,2002,2.16,348.98,149.26,106.21,
North Carolina,NC,37,2003,1.31,353.56,151.22,107.60,
North Carolina,NC,37,2004,3.14,364.66,155.97,110.98,
North Carolina,NC,37,2005,6.17,387.15,165.59,117.83,
North Carolina,NC,37,2006,7.06,414.48,177.28,126.15,
North Carolina,NC,37,2007,4.76,434.20,185.71,132.15,
North Carolina,NC,37,2008,0.98,438.46,187.53,133.44,
North Carolina,NC,37,2009,-3.10,424.85,181.71,129.30,
North Carolina,NC,37,2010,-5.43,401.76,171.84,122.28,
North Carolina,NC,37,2011,-3.80,386.49,165.30,117.63,
North Carolina,NC,37,2012,-2.64,376.30,160.94,114.53,
North Carolina,NC,37,2013,0.83,379.42,162.28,115.47,
North Carolina,NC,37,2014,2.58,389.19,166.46,118.45,
North Carolina,NC,37,2015,3.66,403.42,172.54,122.78,
North Carolina,NC,37,2016,4.61,422.02,180.50,128.44,
North Carolina,NC,37,2017,5.37,444.68,190.19,135.34,
North Carolina,NC,37,2018,6.07,471.66,201.73,143.55,
North Dakota,ND,38,1975,.,100.00,57.05,40.28,
North Dakota,ND,38,1976,11.58,111.58,63.66,44.95,
North Dakota,ND,38,1977,11.84,124.79,71.20,50.27,
North Dakota,ND,38,1978,9.91,137.16,78.26,55.26,
North Dakota,ND,38,1979,12.97,154.95,88.40,62.42,
North Dakota,ND,38,1980,4.16,161.40,92.08,65.02,
North Dakota,ND,38,1981,3.88,167.66,95.66,67.54,
North Dakota,ND,38,1982,-20.74,132.90,75.82,53.54,
North Dakota,ND,38,1983,28.23,170.41,97.23,68.65,
North Dakota,ND,38,1984,4.19,177.55,101.30,71.53,
North Dakota,ND,38,1985,-1.16,175.49,100.13,70.70,
North Dakota,ND,38,1986,-0.48,174.65,99.64,70.36,
North Dakota,ND,38,1987,-0.72,173.40,98.93,69.85,
North Dakota,ND,38,1988,-2.33,169.35,96.62,68.22,
North Dakota,ND,38,1989,2.38,173.38,98.92,69.85,
North Dakota,ND,38,1990,1.09,175.27,100.00,70.61,
North Dakota,ND,38,1991,2.58,179.80,102.58,72.43,
North Dakota,ND,38,1992,2.55,184.38,105.20,74.28,
North Dakota,ND,38,1993,4.69,193.02,110.12,77.76,
North Dakota,ND,38,1994,5.15,202.95,115.79,81.76,
North Dakota,ND,38,1995,5.49,214.10,122.15,86.25,
North Dakota,ND,38,1996,3.77,222.16,126.75,89.50,
North Dakota,ND,38,1997,2.68,228.11,130.15,91.89,
North Dakota,ND,38,1998,3.91,237.02,135.23,95.48,
North Dakota,ND,38,1999,1.77,241.22,137.63,97.18,
North Dakota,ND,38,2000,2.91,248.23,141.63,100.00,
North Dakota,ND,38,2001,4.02,258.20,147.31,104.02,
North Dakota,ND,38,2002,3.94,268.39,153.12,108.12,
North Dakota,ND,38,2003,3.46,277.68,158.43,111.86,
North Dakota,ND,38,2004,6.50,295.74,168.73,119.14,
North Dakota,ND,38,2005,8.15,319.84,182.48,128.85,
North Dakota,ND,38,2006,6.34,340.11,194.04,137.01,
North Dakota,ND,38,2007,4.47,355.31,202.72,143.14,
North Dakota,ND,38,2008,2.51,364.23,207.81,146.73,
North Dakota,ND,38,2009,0.94,367.64,209.76,148.10,
North Dakota,ND,38,2010,1.29,372.40,212.47,150.02,
North Dakota,ND,38,2011,3.12,384.00,219.09,154.69,
North Dakota,ND,38,2012,5.23,404.06,230.53,162.78,
North Dakota,ND,38,2013,8.46,438.24,250.04,176.55,
North Dakota,ND,38,2014,7.57,471.40,268.95,189.90,
North Dakota,ND,38,2015,4.67,493.42,281.52,198.77,
North Dakota,ND,38,2016,2.78,507.15,289.35,204.30,
North Dakota,ND,38,2017,1.36,514.03,293.28,207.08,
North Dakota,ND,38,2018,1.16,520.01,296.69,209.49,
Ohio,OH,39,1975,.,100.00,45.92,31.36,
Ohio,OH,39,1976,7.40,107.40,49.32,33.68,
Ohio,OH,39,1977,10.41,118.58,54.45,37.19,
Ohio,OH,39,1978,13.36,134.43,61.72,42.15,
Ohio,OH,39,1979,12.21,150.83,69.26,47.30,
Ohio,OH,39,1980,4.18,157.14,72.15,49.28,
Ohio,OH,39,1981,2.10,160.44,73.67,50.31,
Ohio,OH,39,1982,-0.94,158.93,72.97,49.84,
Ohio,OH,39,1983,2.64,163.12,74.90,51.15,
Ohio,OH,39,1984,2.20,166.71,76.55,52.28,
Ohio,OH,39,1985,2.03,170.09,78.10,53.34,
Ohio,OH,39,1986,3.47,175.99,80.81,55.19,
Ohio,OH,39,1987,5.23,185.19,85.03,58.07,
Ohio,OH,39,1988,7.39,198.87,91.32,62.36,
Ohio,OH,39,1989,5.11,209.04,95.98,65.55,
Ohio,OH,39,1990,4.18,217.78,100.00,68.29,
Ohio,OH,39,1991,3.42,225.24,103.42,70.63,
Ohio,OH,39,1992,3.07,232.15,106.60,72.80,
Ohio,OH,39,1993,3.09,239.34,109.90,75.05,
Ohio,OH,39,1994,4.07,249.08,114.37,78.11,
Ohio,OH,39,1995,5.19,262.02,120.31,82.17,
Ohio,OH,39,1996,4.24,273.12,125.41,85.65,
Ohio,OH,39,1997,4.26,284.76,130.76,89.30,
Ohio,OH,39,1998,3.46,294.62,135.28,92.39,
Ohio,OH,39,1999,3.45,304.79,139.95,95.58,
Ohio,OH,39,2000,4.63,318.89,146.43,100.00,
Ohio,OH,39,2001,4.11,332.01,152.45,104.11,
Ohio,OH,39,2002,2.24,339.45,155.87,106.45,
Ohio,OH,39,2003,1.54,344.67,158.27,108.08,
Ohio,OH,39,2004,3.01,355.05,163.03,111.34,
Ohio,OH,39,2005,3.47,367.36,168.68,115.20,
Ohio,OH,39,2006,0.63,369.68,169.75,115.93,
Ohio,OH,39,2007,-1.19,365.29,167.73,114.55,
Ohio,OH,39,2008,-2.45,356.34,163.62,111.74,
Ohio,OH,39,2009,-3.24,344.79,158.32,108.12,
Ohio,OH,39,2010,-3.54,332.57,152.71,104.29,
Ohio,OH,39,2011,-3.73,320.17,147.01,100.40,
Ohio,OH,39,2012,-1.79,314.44,144.38,98.60,
Ohio,OH,39,2013,0.24,315.20,144.73,98.84,
Ohio,OH,39,2014,3.15,325.12,149.29,101.95,
Ohio,OH,39,2015,3.31,335.90,154.24,105.33,
Ohio,OH,39,2016,3.87,348.89,160.20,109.41,
Ohio,OH,39,2017,4.94,366.11,168.11,114.81,
Ohio,OH,39,2018,5.37,385.75,177.13,120.97,
Oklahoma,OK,40,1975,.,100.00,53.33,37.33,
Oklahoma,OK,40,1976,11.66,111.66,59.54,41.68,
Oklahoma,OK,40,1977,9.59,122.37,65.25,45.68,
Oklahoma,OK,40,1978,21.34,148.49,79.18,55.43,
Oklahoma,OK,40,1979,15.45,171.43,91.41,63.99,
Oklahoma,OK,40,1980,10.99,190.27,101.46,71.02,
Oklahoma,OK,40,1981,8.91,207.22,110.50,77.35,
Oklahoma,OK,40,1982,9.68,227.28,121.20,84.84,
Oklahoma,OK,40,1983,3.47,235.18,125.41,87.79,
Oklahoma,OK,40,1984,-3.27,227.47,121.30,84.91,
Oklahoma,OK,40,1985,-3.73,218.98,116.77,81.74,
Oklahoma,OK,40,1986,-2.79,212.87,113.51,79.46,
Oklahoma,OK,40,1987,-7.20,197.55,105.35,73.74,
Oklahoma,OK,40,1988,-8.85,180.07,96.02,67.22,
Oklahoma,OK,40,1989,3.06,185.59,98.97,69.28,
Oklahoma,OK,40,1990,1.05,187.53,100.00,70.00,
Oklahoma,OK,40,1991,3.33,193.76,103.33,72.33,
Oklahoma,OK,40,1992,2.75,199.09,106.16,74.32,
Oklahoma,OK,40,1993,3.52,206.10,109.90,76.93,
Oklahoma,OK,40,1994,3.77,213.88,114.05,79.84,
Oklahoma,OK,40,1995,3.61,221.60,118.17,82.72,
Oklahoma,OK,40,1996,3.79,230.00,122.65,85.85,
Oklahoma,OK,40,1997,2.97,236.83,126.29,88.40,
Oklahoma,OK,40,1998,4.16,246.69,131.55,92.08,
Oklahoma,OK,40,1999,3.81,256.09,136.56,95.59,
Oklahoma,OK,40,2000,4.61,267.89,142.85,100.00,
Oklahoma,OK,40,2001,4.87,280.94,149.81,104.87,
Oklahoma,OK,40,2002,3.25,290.08,154.69,108.28,
Oklahoma,OK,40,2003,2.83,298.29,159.06,111.35,
Oklahoma,OK,40,2004,3.85,309.77,165.19,115.63,
Oklahoma,OK,40,2005,4.87,324.87,173.24,121.27,
Oklahoma,OK,40,2006,4.56,339.69,181.14,126.80,
Oklahoma,OK,40,2007,3.87,352.82,188.14,131.70,
Oklahoma,OK,40,2008,1.70,358.81,191.34,133.94,
Oklahoma,OK,40,2009,-0.25,357.91,190.86,133.60,
Oklahoma,OK,40,2010,-0.66,355.56,189.60,132.72,
Oklahoma,OK,40,2011,-1.71,349.47,186.35,130.45,
Oklahoma,OK,40,2012,0.81,352.30,187.86,131.51,
Oklahoma,OK,40,2013,1.62,358.00,190.90,133.63,
Oklahoma,OK,40,2014,3.06,368.96,196.75,137.73,
Oklahoma,OK,40,2015,3.52,381.96,203.68,142.58,
Oklahoma,OK,40,2016,2.71,392.32,209.20,146.45,
Oklahoma,OK,40,2017,3.33,405.37,216.16,151.32,
Oklahoma,OK,40,2018,2.49,415.48,221.55,155.09,
Oregon,OR,41,1975,.,100.00,41.53,22.52,
Oregon,OR,41,1976,11.90,111.90,46.48,25.20,
Oregon,OR,41,1977,19.76,134.02,55.66,30.18,
Oregon,OR,41,1978,18.86,159.29,66.16,35.88,
Oregon,OR,41,1979,13.99,181.58,75.42,40.90,
Oregon,OR,41,1980,5.38,191.35,79.47,43.10,
Oregon,OR,41,1981,-4.30,183.12,76.05,41.24,
Oregon,OR,41,1982,3.67,189.84,78.85,42.76,
Oregon,OR,41,1983,0.29,190.40,79.08,42.88,
Oregon,OR,41,1984,-1.82,186.94,77.64,42.10,
Oregon,OR,41,1985,-1.04,184.98,76.83,41.66,
Oregon,OR,41,1986,0.12,185.21,76.92,41.71,
Oregon,OR,41,1987,0.57,186.27,77.36,41.95,
Oregon,OR,41,1988,4.28,194.24,80.67,43.75,
Oregon,OR,41,1989,9.08,211.87,88.00,47.72,
Oregon,OR,41,1990,13.64,240.77,100.00,54.23,
Oregon,OR,41,1991,8.77,261.88,108.77,58.98,
Oregon,OR,41,1992,6.00,277.61,115.30,62.52,
Oregon,OR,41,1993,6.97,296.96,123.34,66.88,
Oregon,OR,41,1994,8.57,322.43,133.92,72.62,
Oregon,OR,41,1995,10.54,356.42,148.03,80.27,
Oregon,OR,41,1996,6.25,378.68,157.28,85.29,
Oregon,OR,41,1997,6.41,402.94,167.36,90.75,
Oregon,OR,41,1998,3.58,417.39,173.36,94.01,
Oregon,OR,41,1999,2.50,427.81,177.69,96.35,
Oregon,OR,41,2000,3.78,444.00,184.41,100.00,
Oregon,OR,41,2001,4.43,463.68,192.58,104.43,
