FHFBID,District,Member Name,City,State,Zip,Member Type,Charter Type,FDIC Certificate Number,Federal Reserve ID,OTS Docket Number ,Credit Union Charter Number ,Approval Date,,
02230,Cincinnati,Foundation Bank,Cincinnati,OH,45202,Savings Bank,Federal,28724,,02230,,,,
02246,New York,Glen Rock Savings Bank,Glen Rock,NJ,07452,Savings Bank,State,28729,0147679,,,,,
02248,Des Moines,Midwest Federal Savings & Loan Association of St Joseph,Saint Joseph,MO,64501,Savings and Loan,Federal,28731,,02248,,,,
02253,Topeka,"Golden Belt Bank, FSA - Ellis, KS",Ellis,KS,67637,Savings and Loan,Federal,28735,,02253,,,,
02275,Pittsburgh,First Federal Savings Bank,Sistersville,WV,26175,Savings Bank,Federal,28746,,02275,,,,
02281,Chicago,Hoyne Savings Bank,Chicago,IL,60630,Savings Bank,State,28747,0447070,,,,,
02284,Boston,FIDELITY CO-OP BK,Fitchburg,MA,01420,Savings Bank,State,26451,0933377,,,,,
02311,Dallas,Heartland Community Bank,Camden,AR,71701,Commercial Bank,State,28761,0155777,,,,,
02319,New York,Kearny Federal Savings Bank,Kearny,NJ,07032,Savings Bank,Federal,28765,,02319,,,,
02324,Indianapolis,FIRST FSB ANGOLA,Angola,IN,46703,Savings Bank,Federal,28769,,02324,,,,
02326,Pittsburgh,Croydon Savings Bank,Croydon,PA,19020,Savings Bank,State,28770,0572776,,,,,
02335,Chicago,Loomis FS & LA,Chicago,IL,60638,Savings and Loan,Federal,28774,,02335,,,,
02338,Des Moines,Quarry City Savings & Loan Association,Warrensburg,MO,64093,Savings and Loan,State,28776,,02338,,,,
02343,New York,"Somerset Savings Bank, SLA",Bound Brook,NJ,08805,Savings and Loan,State,28778,,02343,,,,
02349,Atlanta,Arundel Federal Savings Bank,Baltimore,MD,21225,Savings Bank,Federal,28780,,02349,,,,
02353,Indianapolis,"Liberty Savings Bank, FSB",Whiting,IN,46394,Savings and Loan,Federal,28781,,02353,,,,
02365,New York,STURDY SAVINGS BANK,Stone Harbor,NJ,08247,Savings Bank,State,28788,0391977,,,,,
02368,Chicago,Superior Savings Bank,Superior,WI,54880,Savings Bank,State,28790,0575375,,,,,
02376,Pittsburgh,Sharon Savings Bank,Darby,PA,19023,Savings Bank,State,28793,0164377,,,,,
02386,Atlanta,Franklin FS & LA of Richmond,Glen Allen,VA,23060,Savings and Loan,Federal,28798,,02386,,,,
02397,New York,Sunnyside FS & LA of Irvington,Irvington,NY,10533,Savings and Loan,Federal,28805,,02397,,,,
02400,Indianapolis,WEST END SAVINGS BANK,Richmond,IN,47374,Savings Bank,State,28807,0577472,,,,,
02402,Chicago,"BankFinancial, FSB",Olympia Fields,IL,60461,Savings Bank,Federal,28808,,02402,,,,
02405,Pittsburgh,NOVA Bank,Berwyn,PA,19312,Savings Bank,State,27148,0169073,,,,,
02407,Dallas,"Forrest City Bank, NA",Forrest City,AR,72335,Commercial Bank,National,28812,0168571,,,,,
02422,New York,CREST SAVINGS BANK,Wildwood Crest,NJ,08260,Savings Bank,Federal,28818,,02422,,,,
02435,Seattle,Cascade Bank,Everett,WA,98201,Commercial Bank,State,28823,0641476,,,,,
02449,Atlanta,Citizens South Bank,Gastonia,NC,28052,Savings Bank,Federal,28833,,02449,,,,
02454,New York,Columbia Bank,Fair Lawn,NJ,07410,Savings Bank,Federal,28834,,02454,,,,
02457,Pittsburgh,First FS & LA of Bucks Co,Bristol,PA,19007,Savings and Loan,Federal,28835,,02457,,,,
02458,Pittsburgh,United Savings Bank,Philadelphia,PA,19145,Savings Bank,State,28836,0459372,,,,,
02460,Boston,The Brattleboro Savings and Loan Association,Brattleboro,VT,05301,Savings Bank,State,28837,0580874,,,,,
02470,Chicago,Community Savings Bank,Chicago,IL,60641,Savings Bank,State,28841,0520777,,,,,
02479,Seattle,First FSB of Twin Falls,Twin Falls,ID,83301,Savings Bank,Federal,28845,,02479,,,,
02502,Atlanta,First Piedmont FS & LA of Gaffney,Gaffney,SC,29341,Savings and Loan,Federal,28859,,02502,,,,
02505,Topeka,Century S&la,Trinidad,CO,81082,Savings and Loan,State,28860,,02505,,,,
02517,Atlanta,Olde Cypress Community Bank,Clewiston,FL,33440,Savings Bank,Federal,28864,,02517,,,,
02519,New York,Oritani Bank,Township of Washington,NJ,07676,Savings Bank,State,28866,0002376,,,,,
02523,Dallas,"Mineola Community Bank, SSB",Mineola,TX,75773,Savings Bank,State,28868,0000279,,,,,
02528,New York,Wallkill Valley FS & LA,Wallkill,NY,12589,Savings and Loan,Federal,28870,,02528,,,,
02558,Atlanta,First Federal Bank of North Florida,Palatka,FL,32177,Savings Bank,Federal,28886,,02558,,,,
02563,Pittsburgh,Fox Chase Bank,Hatboro,PA,19040,Savings Bank,Federal,28888,,02563,,,,
02573,New York,INVESTORS SAVINGS BANK,Millburn,NJ,07041,Savings Bank,State,28892,0035570,,,,,
02578,Indianapolis,SECURITY FSB,Logansport,IN,46947,Savings Bank,Federal,28894,,02578,,,,
02597,Dallas,First Financial Bank,El Dorado,AR,71730,Commercial Bank,State,28905,0048374,,,,,
02601,Pittsburgh,Iron Worker's Savings Bank,Aston,PA,19014,Savings Bank,State,28908,0045775,,,,,
02610,Seattle,Evergreen FS & LA,Grants Pass,OR,97526,Savings and Loan,Federal,28914,,02610,,,,
02611,Indianapolis,Your Community Bank,New Albany,IN,47150,Commercial Bank,State,28915,0054375,,,,,
02612,Pittsburgh,"St. Edmond's, FSB",Philadelphia,PA,19148,Savings Bank,Federal,28916,,02612,,,,
02620,Indianapolis,WOLVERINE FS&LA,Midland,MI,48640,Savings Bank,Federal,28918,,02620,,,,
02630,San Francisco,M & I Bank FSB,Las Vegas,NV,89109,Savings Bank,Federal,28923,,02630,,,,
02631,Chicago,First Federal Savings Bank,Ottawa,IL,61350,Savings Bank,Federal,28924,,02631,,,,
