,,,,,,,,Federal Housing Finance Agency,,
,,,,,,,,www.fhfa.gov,,
,,,,,,,,,,
"TABLE 24:  TERMS ON CONVENTIONAL SINGLE-FAMILY MORTGAGES, MONTHLY NATIONAL AVERAGES, NEWLY BUILT  HOMES, ADJUSTABLE-RATE MORTGAGES",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Year,Month,Contract,Initial,Effective,Term,Mortgage,Purchase,Loan-,,
,,Interest,Fees,Interest,to,Loan,Price,to-Price,,
,,Rate,and,Rate,Maturity,Amount,($000),Ratio,,
,,(%),Charges,(%),,($000),,(%),,
,,,(%),,,,,,,
,,,,,,,,,,
2001,04,6.57,0.40,6.63,29.8,236.8,312.3,76.8,,
2001,05,6.49,0.39,6.55,29.5,232.8,305.6,77.9,,
2001,06,6.18,0.41,6.24,29.8,248.5,325.6,78.2,,
2001,07,6.41,0.44,6.48,29.9,239.2,312.3,78.3,,
2001,08,6.42,0.39,6.47,29.6,233.8,307.5,76.4,,
2001,09,6.26,0.40,6.32,29.9,233.5,309.2,77.3,,
2001,10,6.01,0.35,6.07,29.1,226.8,308.6,74.8,,
2001,11,6.12,0.27,6.16,29.4,231.5,304.2,77.6,,
2001,12,6.11,0.29,6.15,29.4,224.9,289.5,77.5,,
2002,01,6.04,0.42,6.11,30.0,231.4,301.3,78.5,,
2002,02,6.05,0.33,6.10,29.6,230.2,300.7,78.8,,
2002,03,5.95,0.34,6.00,29.9,240.6,314.2,79.0,,
2002,04,5.77,0.35,5.82,29.5,237.2,310.3,78.7,,
2002,05,5.57,0.34,5.62,30.0,241.0,317.4,77.5,,
2002,06,5.47,0.35,5.52,29.9,248.0,324.2,77.7,,
2002,07,5.32,0.41,5.37,29.9,244.9,322.4,77.8,,
2002,08,5.35,0.38,5.40,29.9,240.8,323.3,76.3,,
2002,09,5.44,0.38,5.49,29.8,237.5,311.0,78.2,,
2002,10,5.31,0.42,5.37,29.8,233.0,306.4,78.0,,
2002,11,5.41,0.43,5.47,29.7,227.1,293.8,79.1,,
2002,12,5.27,0.47,5.33,30.0,208.1,270.3,78.4,,
2003,01,5.39,0.36,5.44,29.5,220.9,285.2,78.6,,
2003,02,5.29,0.28,5.33,29.9,215.8,274.3,81.7,,
2003,03,5.12,0.30,5.16,30.0,235.7,303.0,79.6,,
2003,04,5.28,0.32,5.32,30.0,236.3,300.1,80.4,,
2003,05,5.02,0.35,5.07,29.7,237.3,304.8,79.3,,
2003,06,4.83,0.39,4.89,29.9,236.0,302.9,79.8,,
2003,07,4.90,0.42,4.95,29.8,235.0,300.6,80.5,,
2003,08,5.00,0.49,5.07,30.0,251.0,323.5,79.3,,
2003,09,5.11,0.55,5.18,30.0,238.9,312.1,78.6,,
2003,10,5.20,0.47,5.27,29.8,241.2,314.4,79.0,,
2003,11,5.14,0.47,5.21,30.0,226.5,294.8,78.4,,
