,,,,,,,,Federal Housing Finance Agency,,,,,,,,,,,,,,,,,,,,
,,,,,,,,www.fhfa.gov,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TABLE 12: TERMS ON CONVENTIONAL SINGLE-FAMILY MORTGAGES, ANNUAL NATIONAL AVERAGES, FIXED-RATE MORTGAGES",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property Type,Year,Contract,Initial,Effective,Term,Mortgage,Purchase,Loan-,,,,,,,,,,,,,,,,,,,,
,,Interest,Fees,Interest,to,Loan,Price,to-Price,,,,,,,,,,,,,,,,,,,,
,,Rate,and,Rate,Maturity,Amount,($000),Ratio,,,,,,,,,,,,,,,,,,,,
,,(%),Charges,(%),,($000),,(%),,,,,,,,,,,,,,,,,,,,
,,,(%),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Homes,1989,10.17,2.22,10.56,27.5,110.8,153.9,73.4,,,,,,,,,,,,,,,,,,,,
New Homes,1990,10.06,2.09,10.43,26.4,104.0,144.3,74.2,,,,,,,,,,,,,,,,,,,,
New Homes,1991,9.32,1.79,9.63,26.1,107.3,147.8,74.4,,,,,,,,,,,,,,,,,,,,
New Homes,1992,8.25,1.61,8.53,25.1,115.8,154.6,77.0,,,,,,,,,,,,,,,,,,,,
New Homes,1993,7.27,1.32,7.49,25.8,120.0,158.4,78.4,,,,,,,,,,,,,,,,,,,,
New Homes,1994,7.85,1.38,8.08,26.4,118.2,155.1,78.4,,,,,,,,,,,,,,,,,,,,
New Homes,1995,7.95,1.28,8.17,26.7,120.8,159.7,78.0,,,,,,,,,,,,,,,,,,,,
New Homes,1996,7.80,1.29,8.02,26.4,129.0,170.3,77.9,,,,,,,,,,,,,,,,,,,,
New Homes,1997,7.73,1.02,7.90,27.8,132.8,170.9,80.4,,,,,,,,,,,,,,,,,,,,
New Homes,1998,7.06,0.91,7.20,28.2,142.8,184.0,80.4,,,,,,,,,,,,,,,,,,,,
